producto_id,nombre_producto,categoria_id,precio_unitario
1,Arroz 1kg,1,4.2
2,Azúcar 1kg,1,4.8
3,Aceite 1L,1,9.5
4,Fideos 500g,1,3.2
5,Atún lata,1,5.9
6,Gaseosa 500ml,2,3.5
7,Agua mineral 1L,2,2.0
8,Jugo envasado 1L,2,5.5
9,Cerveza lata,2,6.0
10,Papitas 150g,3,4.5
11,Galletas paquete,3,2.8
12,Chocolate barra,3,3.0
13,Maní salado,3,3.8
14,Detergente 1kg,4,8.9
15,Lejía 1L,4,4.0
16,Esponja x3,4,3.5
17,Papel higiénico x4,4,7.5
18,Shampoo 400ml,5,12.5
19,Jabón de tocador,5,2.5
20,Pasta dental,5,6.0
21,Desodorante,5,9.9
