fecha,hora,tienda_id,producto_id,cantidad,medio_pago
2026-09-12,17:18:21,2,8,6,Efectivo
2026-09-12,09:49:33,2,13,6,Tarjeta
2026-09-12,21:31:15,1,21,6,Tarjeta
2026-09-12,15:46:46,2,8,6,Efectivo
2026-09-12,10:59:44,4,5,2,Tarjeta
2026-09-12,17:05:28,4,8,6,Efectivo
2026-09-12,11:47:32,3,7,5,Yape/Plin
2026-09-12,15:24:22,2,20,3,Efectivo
2026-09-12,17:37:30,2,11,1,Efectivo
2026-09-12,15:54:26,4,14,5,Tarjeta
2026-09-12,20:31:54,1,12,3,Tarjeta
2026-09-12,21:14:22,4,6,3,Tarjeta
2026-09-12,12:37:59,4,8,6,Efectivo
2026-09-12,21:52:13,2,18,6,Yape/Plin
2026-09-12,13:09:42,1,18,4,Efectivo
2026-09-12,18:14:43,1,15,1,Efectivo
2026-09-12,12:53:09,3,8,3,Yape/Plin
2026-09-12,14:56:02,3,5,3,Efectivo
2026-09-12,12:03:28,3,11,6,Yape/Plin
2026-09-12,08:36:10,2,9,4,Yape/Plin
2026-09-12,11:18:45,1,9,5,Yape/Plin
2026-09-12,11:21:49,3,2,5,Efectivo
2026-09-12,09:34:11,3,13,1,Efectivo
2026-09-12,18:21:21,1,10,3,Tarjeta
2026-09-12,11:39:30,4,2,6,Efectivo
2026-09-12,19:52:27,1,21,4,Tarjeta
2026-09-12,12:20:08,2,6,5,Tarjeta
2026-09-12,09:07:26,4,15,4,Yape/Plin
2026-09-12,15:46:20,2,15,4,Yape/Plin
2026-09-12,21:01:06,3,13,2,Tarjeta
2026-09-12,18:18:18,1,5,1,Tarjeta
2026-09-12,15:30:21,4,14,5,Efectivo
2026-09-12,15:35:35,3,2,2,Efectivo
2026-09-12,08:15:33,1,10,5,Tarjeta
2026-09-12,16:25:14,3,8,2,Yape/Plin
2026-09-12,11:36:36,3,7,4,Yape/Plin
2026-09-12,13:32:22,3,4,4,Efectivo
2026-09-12,13:29:08,2,15,5,Yape/Plin
2026-09-12,15:47:08,2,17,5,Efectivo
2026-09-12,12:54:12,4,12,6,Efectivo
2026-09-12,09:19:35,1,2,6,Efectivo
2026-09-12,21:28:13,3,12,2,Tarjeta
2026-09-12,18:10:40,2,18,3,Efectivo
2026-09-12,11:48:25,4,5,2,Efectivo
2026-09-12,13:32:08,1,5,4,Yape/Plin
2026-09-12,09:31:51,1,17,6,Yape/Plin
2026-09-12,18:32:34,2,18,6,Efectivo
2026-09-12,21:19:02,2,11,4,Tarjeta
2026-09-12,20:35:36,2,21,3,Efectivo
2026-09-12,15:20:11,4,9,6,Yape/Plin
2026-09-12,18:06:37,2,7,2,Efectivo
2026-09-12,12:02:23,2,16,2,Yape/Plin
